coin,year,annual_return
ADA,2020,4.421633562932335
ADA,2021,6.2228812667544116
ADA,2022,-0.811888035298515
ADA,2023,1.410900618033108
ADA,2024,0.41998971622933157
ADA,2025,-0.6055418228898635
ADA,2026,-0.18785267303979913
BNB,2020,1.7303533415391765
BNB,2021,12.690813636346537
BNB,2022,-0.518574955429072
BNB,2023,0.26826351689383876
BNB,2024,1.2436196588497417
BNB,2025,0.2314886526903226
BNB,2026,-0.2501331166606747
BTC,2020,3.0279192459329902
BTC,2021,0.5966792379843433
BTC,2022,-0.6426524216644345
BTC,2023,1.5541741941225764
BTC,2024,1.2105474659257331
BTC,2025,-0.06336749968934641
BTC,2026,-0.1851121270800341
DOGE,2020,1.3030002626073416
DOGE,2021,35.41520916268743
DOGE,2022,-0.5877088057789512
DOGE,2023,0.2728256041182522
DOGE,2024,2.5282658139758536
DOGE,2025,-0.6284413863888711
DOGE,2026,-0.1805292456920642
DOT,2020,2.2042247922671088
DOT,2021,1.8753996987449089
DOT,2022,-0.8385151338747292
DOT,2023,0.8990319201135337
DOT,2024,-0.19026816517376144
DOT,2025,-0.730336500278377
DOT,2026,-0.23916960142752486
ETH,2020,4.6406124886844475
ETH,2021,3.991346995339539
ETH,2022,-0.6750229248563218
ETH,2023,0.9063552955696601
ETH,2024,0.46069420066933864
ETH,2025,-0.10967461657648758
ETH,2026,-0.2692976030746672
LTC,2020,1.9675652330936804
LTC,2021,0.17502895662534024
LTC,2022,-0.5222581985609193
LTC,2023,0.04003392430186237
LTC,2024,0.415806620884436
LTC,2025,-0.25508475730520475
LTC,2026,-0.26252109758624087
SOL,2020,0.5886564070604596
SOL,2021,111.71381187693547
SOL,2022,-0.9415085563476185
SOL,2023,9.190284910175427
SOL,2024,0.8645677489338202
SOL,2025,-0.34227243186816325
SOL,2026,-0.26329586353091394
XRP,2020,0.1410671615287229
XRP,2021,2.780660129737713
XRP,2022,-0.5910200299026086
XRP,2023,0.8090276934541927
XRP,2024,2.38264638609025
XRP,2025,-0.11545202356209139
XRP,2026,-0.23138111432779052
